start_date,state,pollster,methodology,noise,supports_rate,is_national,days_since_biden_withdrawal
2024-07-29,Kansas,C,online panel,5,42,0,8
2024-09-22,Minnesota,F,probability panel,-1,48.1,0,63
2024-10-18,South Carolina,E,probability panel,1,37.6,0,89
2024-10-21,North Dakota,A,online panel,3,31.5,0,92
2024-08-06,Idaho,E,online panel,-2,45,0,16
2024-10-29,Nevada,D,probability panel,-5,53.7,0,100
2024-08-18,Oklahoma,B,by phone,-1,28.9,0,28
2024-10-12,Utah,A,by phone,-3,58,0,83
2024-10-11,Minnesota,C,online panel,16,27.3,0,82
2024-07-23,Hawaii,E,in-person,-5,46.3,0,2
2024-08-22,New Hampshire,D,in-person,-6,29.4,0,32
2024-08-08,Delaware,A,probability panel,-10,47.7,0,18
2024-09-13,Idaho,F,online panel,10,38.8,0,54
2024-08-24,Oklahoma,E,probability panel,4,46.7,0,34
2024-10-15,Michigan,B,probability panel,-22,21.6,0,86
2024-09-25,Alabama,B,probability panel,-7,26.8,0,66
2024-10-29,Minnesota,B,by phone,1,39.4,0,100
2024-10-10,North Carolina,E,in-person,2,39.9,0,81
2024-07-24,Delaware,F,online panel,7,24.9,0,3
2024-10-29,Delaware,B,by phone,3,24.3,0,100
2024-08-01,Arkansas,B,in-person,7,34,0,11
2024-08-29,New Jersey,C,online panel,5,42.3,0,39
2024-10-08,Arkansas,F,by phone,-17,21.3,0,79
2024-09-24,Wyoming,F,online panel,-13,51,0,65
2024-07-25,Pennsylvania,A,in-person,-5,33.5,0,4
2024-07-22,Maryland,E,by phone,-6,22.5,0,1
2024-09-23,South Carolina,C,online panel,15,30.1,0,64
2024-10-12,New Hampshire,F,by phone,5,39.6,0,83
2024-08-12,Oregon,A,online panel,7,57.9,0,22
2024-09-03,Washington,A,by phone,-1,45.9,0,44
2024-07-31,Arkansas,B,online panel,3,35.8,0,10
2024-10-19,Montana,F,in-person,-0,36.1,0,90
2024-09-08,Mississippi,F,probability panel,-3,24.4,0,49
2024-10-07,Minnesota,F,probability panel,-7,33.5,0,78
2024-10-17,South Dakota,E,in-person,-8,35.4,0,88
2024-09-01,Oklahoma,F,probability panel,5,31.2,0,42
2024-07-22,Iowa,D,probability panel,-10,20.3,0,1
2024-10-24,South Carolina,A,in-person,1,31.7,0,95
2024-09-04,Michigan,D,in-person,7,48.5,0,45
2024-07-21,Ohio,E,probability panel,-7,29.2,0,0
2024-10-01,Florida,E,in-person,11,52.1,0,72
2024-09-06,New Jersey,F,in-person,0,59.8,0,47
2024-10-22,Oklahoma,D,online panel,14,43.5,0,93
2024-10-16,Rhode Island,E,in-person,5,52.1,0,87
2024-07-25,Indiana,D,by phone,5,33.6,0,4
2024-08-11,New Hampshire,C,online panel,10,36.7,0,21
2024-10-13,Oklahoma,B,in-person,14,26.1,0,84
2024-10-01,Iowa,B,by phone,-4,54.8,0,72
2024-11-02,Kentucky,D,probability panel,-0,34.6,0,104
