start_date,state,pollster,methodology,pct,is_national,days_since_Biden_Withdrawal
2024-10-23,Texas,Siena/NYT,Live Phone,52,0,94
2024-10-23,Texas,Siena/NYT,Live Phone,50,0,94
2024-10-23,Texas,Siena/NYT,Live Phone,52,0,94
2024-10-23,Texas,Siena/NYT,Live Phone,51,0,94
2024-10-23,Nebraska,Siena/NYT,Live Phone,55,0,94
2024-10-23,Nebraska,Siena/NYT,Live Phone,53,0,94
2024-10-23,Nebraska,Siena/NYT,Live Phone,55,0,94
2024-10-23,Nebraska,Siena/NYT,Live Phone,53,0,94
2024-10-23,Nebraska,Siena/NYT,Live Phone,42,0,94
2024-10-23,Nebraska,Siena/NYT,Live Phone,41,0,94
2024-10-23,national,YouGov,Online Panel,49,1,94
2024-10-23,Montana,Emerson,Online Panel/Text-to-Web,58.6,0,94
2024-10-01,national,CES / YouGov,Online Panel,46,1,72
2024-10-01,national,CES / YouGov,Online Panel,47,1,72
2024-10-23,national,Emerson,IVR/Online Panel/Text-to-Web,49.3,1,94
2024-10-21,New Hampshire,Emerson,Online Panel/Text-to-Web,47.2,0,92
2024-10-20,national,Siena/NYT,Live Phone,47,1,91
2024-10-20,national,Siena/NYT,Live Phone,46,1,91
2024-10-20,national,Siena/NYT,Live Phone,48,1,91
2024-10-20,national,Siena/NYT,Live Phone,47,1,91
2024-10-20,national,CNN/SSRS,Probability Panel,47,1,91
2024-10-20,national,CNN/SSRS,Probability Panel,46,1,91
2024-10-20,Wisconsin,Suffolk,Live Phone,48,0,91
2024-10-19,Virginia,Washington Post/George Mason University,Live Phone/Text-to-Web,43,0,90
2024-10-19,Virginia,Washington Post/George Mason University,Live Phone/Text-to-Web,42,0,90
2024-10-21,Pennsylvania,Emerson,Online Panel/Text-to-Web,50.7,0,92
2024-10-21,North Carolina,Emerson,Online Panel/Text-to-Web,50.2,0,92
2024-10-21,Wisconsin,Emerson,Online Panel/Text-to-Web,49.9,0,92
2024-10-19,national,YouGov,Online Panel,46,1,90
2024-10-19,national,YouGov,Online Panel,46,1,90
2024-10-19,South Dakota,Emerson,IVR/Online Panel/Text-to-Web,62,0,90
2024-10-18,national,Ipsos,Probability Panel,47,1,89
2024-10-18,national,Ipsos,Probability Panel,47,1,89
2024-10-18,national,Ipsos,Probability Panel,47,1,89
2024-10-17,Georgia,Marist,Live Phone/Online Panel/Text-to-Web,48,0,88
2024-10-17,Georgia,Marist,Live Phone/Online Panel/Text-to-Web,49,0,88
2024-10-17,North Carolina,Marist,Live Phone/Online Panel/Text-to-Web,49,0,88
2024-10-17,North Carolina,Marist,Live Phone/Online Panel/Text-to-Web,50,0,88
2024-10-17,Arizona,Marist,Live Phone/Online Panel/Text-to-Web,49,0,88
2024-10-17,Arizona,Marist,Live Phone/Online Panel/Text-to-Web,50,0,88
2024-10-19,Maryland,Emerson,Online Panel/Text-to-Web,34.4,0,90
2024-10-18,national,YouGov,Online Panel,45,1,89
2024-10-18,national,YouGov,Online Panel,45,1,89
2024-10-18,Texas,Emerson,IVR/Online Panel/Text-to-Web,53.1,0,89
2024-10-17,national,Monmouth,Live Phone/Text-to-Web,44,1,88
2024-10-17,Michigan,Quinnipiac,Live Phone,46,0,88
2024-10-17,Michigan,Quinnipiac,Live Phone,46,0,88
2024-10-17,Wisconsin,Quinnipiac,Live Phone,48,0,88
2024-10-17,Wisconsin,Quinnipiac,Live Phone,48,0,88
2024-10-16,national,Ipsos,Probability Panel,43,1,87
2024-10-16,national,Ipsos,Probability Panel,45,1,87
2024-10-16,national,Ipsos,Probability Panel,39,1,87
2024-10-16,national,Ipsos,Probability Panel,39,1,87
2024-10-16,national,Ipsos,Probability Panel,43,1,87
2024-10-16,national,Ipsos,Probability Panel,45,1,87
2024-10-18,Florida,Emerson,IVR/Online Panel/Text-to-Web,53.6,0,89
2024-10-17,North Carolina,SurveyUSA/High Point University,Online Panel,46,0,88
2024-10-14,national,Suffolk,Live Phone,44.4,1,85
2024-10-14,national,Suffolk,Live Phone,48.7,1,85
2024-10-07,Florida,U. North Florida,Live Phone,53,0,78
2024-10-13,New York,Siena,Live Phone,37,0,84
2024-10-13,New York,Siena,Live Phone,39,0,84
2024-10-12,national,AtlasIntel,Online Ad,50.7,1,83
